Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
"Pigeons, Doves",Pampusana canifrons,Palau Ground Dove,250-999,inferred,Decreasing,inferred
Kingfishers,Todiramphus pelewensis,Palau Kingfisher,"2100-3300, 2700",estimated,Unknown,not applicable
Nightjars,Caprimulgus phalaena,Palau Nightjar,1000-2499,suspected,Stable,suspected
Typical Owls,Pyrroglaux podargina,Palau Owl,Unknown,not applicable,Stable,suspected
Swifts,Aerodramus pelewensis,Palau Swiftlet,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Cyornis lemprieri,Palawan Blue Flycatcher,Unknown,not applicable,Decreasing,inferred
Bulbuls,Alophoixus frater,Palawan Bulbul,Unknown,not applicable,Decreasing,suspected
Drongos,Dicrurus palawanensis,Palawan Drongo,Unknown,not applicable,Decreasing,suspected
Fairy-bluebirds,Irena tweeddalii,Palawan Fairy-bluebird,Unknown,not applicable,Decreasing,suspected
Flowerpeckers,Prionochilus plateni,Palawan Flowerpecker,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Ficedula platenae,Palawan Flycatcher,6000-15000,suspected,Decreasing,suspected
Hornbills,Anthracoceros marchei,Palawan Hornbill,20000-49999,inferred,Decreasing,inferred
"Pheasants, Partridges, Turkeys, Grouse",Polyplectron napoleonis,Palawan Peacock-Pheasant,Unknown,estimated,Decreasing,suspected
Typical Owls,Otus fuliginosus,Palawan Scops-owl,10000-19999,suspected,Decreasing,suspected
Sunbirds,Arachnothera dilutior,Palawan Spiderhunter,Unknown,not applicable,Decreasing,suspected
White-eyes and Yuhinas,Zosterornis hypogrammicus,Palawan Striped Babbler,Unknown,not applicable,Stable,suspected
Tits and chickadees,Pardaliparus amabilis,Palawan Tit,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Agelaioides fringillarius,Pale Baywing,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Cyornis unicolor,Pale Blue Flycatcher,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Melierax canorus,Pale Chanting-goshawk,Unknown,estimated,Stable,suspected
Cuckooshrikes,Edolisoma ceramense,Pale Cicadabird,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Agricola pallidus,Pale Flycatcher,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Gymnophaps solomonensis,Pale Mountain-pigeon,Unknown,not applicable,Decreasing,suspected
Cisticolas and allies,Prinia somalica,Pale Prinia,Unknown,not applicable,Stable,suspected
Swallows and martins,Ptyonoprogne obsoleta,Pale Rock Martin,Unknown,not applicable,Increasing,estimated
Finches,Carpodacus stoliczkae,Pale Rosefinch,Unknown,not applicable,Stable,suspected
Swallows and martins,Riparia diluta,Pale Sand Martin,Unknown,estimated,Unknown,estimated
Old World Sparrows,Carpospiza brachydactyla,Pale Sparrow,Unknown,estimated,Stable,suspected
Thrushes,Turdus pallidus,Pale Thrush,Unknown,not applicable,Decreasing,not applicable
Hummingbirds,Phaethornis anthophilus,Pale-bellied Hermit,500000-4999999,suspected,Decreasing,suspected
Tyrant-flycatchers,Rhytipterna immunda,Pale-bellied Mourner,Unknown,not applicable,Stable,suspected
Starlings,Acridotheres cinereus,Pale-bellied Myna,2500-9999,suspected,Decreasing,inferred
Tapaculos,Scytalopus griseicollis,Pale-bellied Tapaculo,Unknown,not applicable,Decreasing,suspected
Manakins,Neopelma pallescens,Pale-bellied Tyrant-manakin,Unknown,not applicable,Decreasing,inferred
White-eyes and Yuhinas,Zosterops consobrinorum,Pale-bellied White-eye,Unknown,not applicable,Unknown,not applicable
Antpittas,Grallaria carrikeri,Pale-billed Antpitta,90000,estimated,Decreasing,suspected
Toucans,Pteroglossus erythropygius,Pale-billed Ara?ari,Unknown,,Decreasing,suspected
Flowerpeckers,Dicaeum erythrorhynchos,Pale-billed Flowerpecker,Unknown,not applicable,Decreasing,suspected
Hornbills,Lophoceros pallidirostris,Pale-billed Hornbill,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Furnarius torridus,Pale-billed Hornero,Unknown,not applicable,Decreasing,suspected
Parrotbills and allies,Suthora atrosuperciliaris,Pale-billed Parrotbill,Unknown,not applicable,Decreasing,suspected
Thornbills,Aethomyias spilodera,Pale-billed Scrubwren,Unknown,not applicable,Stable,suspected
Birds-of-paradise,Drepanornis bruijnii,Pale-billed Sicklebill,25000-99999,estimated,Decreasing,suspected
Woodpeckers,Campephilus guatemalensis,Pale-billed Woodpecker,50000-499999,estimated,Decreasing,inferred
Monarch-flycatchers,Hypothymis puella,Pale-blue Monarch,Unknown,not applicable,Decreasing,suspected
Ground babblers,Illadopsis rufipennis,Pale-breasted Illadopsis,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Synallaxis albescens,Pale-breasted Spinetail,50000000,estimated,Stable,suspected
Thrushes,Turdus leucomelas,Pale-breasted Thrush,Unknown,not applicable,Stable,suspected
Tinamous,Crypturellus transfasciatus,Pale-browed Tinamou,Unknown,not applicable,Decreasing,inferred
"Pigeons, Doves",Columba punicea,Pale-capped Pigeon,2500-9999,estimated,Decreasing,inferred
Old World Flycatchers and Chats,Cyornis poliogenys,Pale-chinned Flycatcher,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Celeus lugubris,Pale-crested Woodpecker,Unknown,not applicable,Decreasing,inferred
Cisticolas and allies,Cisticola cinnamomeus,Pale-crowned Cisticola,Unknown,not applicable,Unknown,not applicable
Tyrant-flycatchers,Myiarchus cephalotes,Pale-edged Flycatcher,Unknown,not applicable,Stable,suspected
Tits and chickadees,Melaniparus guineensis,Pale-eyed Black Tit,Unknown,,Stable,suspected
New World blackbirds,Agelasticus xanthophthalmus,Pale-eyed Blackbird,Unknown,not applicable,Stable,suspected
Bulbuls,Pycnonotus davisoni,Pale-eyed Bulbul,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Atalotriccus pilaris,Pale-eyed Pygmy-tyrant,500000-4999999,suspected,Stable,suspected
Thrushes,Turdus leucops,Pale-eyed Thrush,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Phlegopsis borbae,Pale-faced Bare-eye,Unknown,not applicable,Decreasing,suspected
Bulbuls,Pycnonotus leucops,Pale-faced Bulbul,Unknown,not applicable,Decreasing,suspected
Bush-warblers,Hemitesia pallidipes,Pale-footed Bush-warbler,Unknown,not applicable,Stable,suspected
Swallows and martins,Orochelidon flavipes,Pale-footed Swallow,Unknown,not applicable,Decreasing,suspected
Waxbills,Nigrita luteifrons,Pale-fronted Nigrita,Unknown,not applicable,Stable,suspected
New World sparrows,Atlapetes pallidiceps,Pale-headed Brushfinch,160-226,observed,Stable,observed
Jacamars,Brachygalba goeringi,Pale-headed Jacamar,Unknown,not applicable,Stable,suspected
Waxbills,Lonchura pallida,Pale-headed Munia,Unknown,not applicable,Stable,suspected
Parrots,Platycercus adscitus,Pale-headed Rosella,Unknown,not applicable,Increasing,suspected
Woodpeckers,Gecinulus grantia,Pale-headed Woodpecker,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Furnarius leucopus,Pale-legged Hornero,Unknown,not applicable,Increasing,suspected
Leaf-warblers,Phylloscopus tenellipes,Pale-legged Leaf-warbler,Unknown,not applicable,Decreasing,suspected
Vireos,Vireolanius mikettae,Pale-legged Shrike-vireo,Unknown,not applicable,Decreasing,not applicable
New World warblers,Myiothlypis signata,Pale-legged Warbler,Unknown,not applicable,Decreasing,suspected
New World sparrows,Atlapetes pallidinucha,Pale-naped Brushfinch,Unknown,not applicable,Stable,suspected
Bulbuls,Phyllastrephus fulviventris,Pale-olive Greenbul,Unknown,not applicable,Decreasing,suspected
Swifts,Chaetura egregia,Pale-rumped Swift,Unknown,not applicable,Decreasing,suspected
Sunbirds,Cinnyris osea,Palestine Sunbird,Unknown,not applicable,Stable,suspected
Hummingbirds,Threnetes leucurus,Pale-tailed Barbthroat,Unknown,not applicable,Decreasing,suspected
African barbets,Gymnobucco vernayi,Pale-throated Barbet,2500-9999,inferred,Decreasing,inferred
Bulbuls,Atimastillas flavigula,Pale-throated Greenbul,Unknown,not applicable,Stable,suspected
Tanagers,Embernagra longicauda,Pale-throated Pampa-finch,Unknown,not applicable,Decreasing,inferred
Scimitar-babblers and allies,Spelaeornis kinneari,Pale-throated Wren-babbler,Unknown,not applicable,Decreasing,inferred
Tyrant-flycatchers,Inezia caudata,Pale-tipped Tyrannulet,Unknown,not applicable,Stable,suspected
"Rails, Gallinules, Coots",Amaurornis moluccana,Pale-vented Bush-hen,1300-33000,estimated,Unknown,not applicable
"Pigeons, Doves",Patagioenas cayennensis,Pale-vented Pigeon,5000000-50000000,suspected,Decreasing,suspected
Thrushes,Turdus obsoletus,Pale-vented Thrush,500000-4999999,suspected,Decreasing,suspected
Starlings,Onychognathus nabouroup,Pale-winged Starling,Unknown,not applicable,Stable,suspected
Australasian robins,Tregellasia capito,Pale-yellow Robin,Unknown,not applicable,Decreasing,suspected
Finches,Loxioides bailleui,Palila,"800-1200, 970",estimated,Decreasing,estimated
Old World Buntings,Emberiza pallasi,Pallas's Bunting,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Haliaeetus leucoryphus,Pallas's Fish-eagle,1000-2499,estimated,Decreasing,inferred
Grasshopper-warblers and grassbirds,Helopsaltes certhiola,Pallas's Grasshopper-warbler,Unknown,not applicable,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus ichthyaetus,Pallas's Gull,Unknown,estimated,Increasing,suspected
Leaf-warblers,Phylloscopus proregulus,Pallas's Leaf-warbler,Unknown,,Stable,suspected
Finches,Carpodacus roseus,Pallas's Rosefinch,Unknown,not applicable,Stable,suspected
Sandgrouse,Syrrhaptes paradoxus,Pallas's Sandgrouse,Unknown,not applicable,Stable,suspected
Cuckoos,Heteroscenes pallidus,Pallid Cuckoo,Unknown,not applicable,Increasing,suspected
"Pigeons, Doves",Leptotila pallida,Pallid Dove,Unknown,not applicable,Decreasing,inferred
"Hawks, Eagles",Circus macrourus,Pallid Harrier,18000-30000,estimated,Decreasing,suspected
Honeyguides,Indicator meliphilus,Pallid Honeyguide,Unknown,not applicable,Decreasing,inferred
Typical Owls,Otus brucei,Pallid Scops-owl,Unknown,not applicable,Stable,suspected
Ovenbirds,Cranioleuca pallida,Pallid Spinetail,Unknown,not applicable,Decreasing,suspected
Swifts,Apus pallidus,Pallid Swift,800000-1499999,estimated,Stable,suspected
Ovenbirds,Leptasthenura pallida,Pallid Tit-spinetail,Unknown,not applicable,Stable,suspected
Cockatoos,Probosciger aterrimus,Palm Cockatoo,260000-640000,estimated,Decreasing,inferred
Crows and jays,Corvus palmarum,Palm Crow,Unknown,not applicable,Decreasing,suspected
Parrots,Charmosyna palmarum,Palm Lorikeet,1000-2499,estimated,Decreasing,suspected
Tanagers,Tangara palmarum,Palm Tanager,Unknown,not applicable,Stable,suspected
New World warblers,Setophaga palmarum,Palm Warbler,13000000,estimated,Increasing,estimated
Palmchat,Dulus dominicus,Palmchat,Unknown,not applicable,Stable,suspected
Ovenbirds,Berlepschia rikeri,Palmcreeper,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Gypohierax angolensis,Palm-nut Vulture,Unknown,estimated,Stable,suspected
Tyrant-flycatchers,Zimmerius vilissimus,Paltry Tyrannulet,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Colaptes campestroides,Pampas Flicker,Unknown,not applicable,Increasing,suspected
New World blackbirds,Leistes defilippii,Pampas Meadowlark,4000-6000,estimated,Decreasing,inferred
Pipits and Wagtails,Anthus chacoensis,Pampas Pipit,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Myiarchus panamensis,Panama Flycatcher,500000-4999999,suspected,Stable,suspected
White-eyes and Yuhinas,Zosterornis latistriatus,Panay Striped Babbler,Unknown,not applicable,Stable,suspected
Pipits and Wagtails,Macronyx aurantiigula,Pangani Longclaw,Unknown,not applicable,Stable,suspected
Monarch-flycatchers,Myiagra nana,Paperbark Flycatcher,Unknown,not applicable,Decreasing,estimated
Australasian babblers,Garritornis isidorei,Papuan Babbler,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Myzomela nigrita,Papuan Black Myzomela,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Harpyopsis novaeguineae,Papuan Eagle,3200-4000,estimated,Decreasing,inferred
Parrots,Eclectus polychloros,Papuan Eclectus,990000-1100000,suspected,Decreasing,inferred
Frogmouths,Podargus papuensis,Papuan Frogmouth,Unknown,not applicable,Decreasing,suspected
Grasshopper-warblers and grassbirds,Cincloramphus macrurus,Papuan Grassbird,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Circus spilothorax,Papuan Harrier,Unknown,not applicable,Stable,suspected
Typical Owls,Uroglaux dimorpha,Papuan Hawk-owl,Unknown,not applicable,Decreasing,suspected
Hornbills,Rhyticeros plicatus,Papuan Hornbill,Unknown,not applicable,Decreasing,suspected
Parrots,Alisterus chloropterus,Papuan King-parrot,Unknown,not applicable,Decreasing,suspected
Logrunners,Orthonyx novaeguineae,Papuan Logrunner,Unknown,not applicable,Decreasing,suspected
Parrots,Charmosyna papou,Papuan Lorikeet,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Gymnophaps albertisii,Papuan Mountain-pigeon,Unknown,not applicable,Decreasing,suspected
Nightjars,Eurostopodus papuensis,Papuan Nightjar,Unknown,not applicable,Decreasing,suspected
Waxbills,Erythrura papuana,Papuan Parrotfinch,Unknown,not applicable,Decreasing,suspected
Pittas,Erythropitta macklotii,Papuan Pitta,Unknown,not applicable,Decreasing,suspected
Australasian robins,Drymodes beccarii,Papuan Scrub-robin,Unknown,not applicable,Decreasing,suspected
Thornbills,Aethomyias papuensis,Papuan Scrubwren,Unknown,not applicable,Decreasing,suspected
Sittellas,Daphoenositta papuensis,Papuan Sittella,Unknown,not applicable,Decreasing,suspected
Swifts,Mearnsia novaeguineae,Papuan Spinetail,Unknown,not applicable,Decreasing,suspected
Swifts,Aerodramus papuensis,Papuan Swiftlet,Unknown,not applicable,Unknown,
Australasian Treecreepers,Cormobates placens,Papuan Treecreeper,Unknown,not applicable,Decreasing,suspected
Whipbirds and wedgebills,Androphobus viridis,Papuan Whipbird,Unknown,not applicable,Stable,suspected
Finches,Crithagra koliensis,Papyrus Canary,Unknown,not applicable,Decreasing,suspected
Bush-shrikes,Laniarius mufumbiri,Papyrus Gonolek,2000000,estimated,Decreasing,estimated
Reed-warblers,Calamonastides gracilirostris,Papyrus Yellow Warbler,10000-19999,estimated,Decreasing,suspected
Ovenbirds,Automolus paraensis,Para Foliage-gleaner,Unknown,not applicable,Decreasing,suspected
Jacamars,Galbula dea,Paradise Jacamar,Unknown,not applicable,Decreasing,suspected
Parrots,Psephotellus pulcherrimus,Paradise Parrot,Unknown,,,not applicable
Birds-of-paradise,Lophorina paradisea,Paradise Riflebird,Unknown,not applicable,Decreasing,inferred
"Ducks, Geese, Swans",Tadorna variegata,Paradise Shelduck,100000-120000,estimated,Stable,suspected
Tanagers,Tangara chilensis,Paradise Tanager,Unknown,not applicable,Decreasing,suspected
Auks,Aethia psittacula,Parakeet Auklet,1400000,estimated,Decreasing,suspected
Tapaculos,Scytalopus canus,Paramillo Tapaculo,3300-15500,inferred,Decreasing,suspected
Pipits and Wagtails,Anthus bogotensis,Paramo Pipit,Unknown,not applicable,Stable,suspected
Tanagers,Catamenia homochroa,Paramo Seedeater,Unknown,not applicable,Stable,suspected
Tapaculos,Scytalopus opacus,Paramo Tapaculo,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Formicivora acutirostris,Parana Antwren,5000-9999,estimated,Decreasing,inferred
Tanagers,Nephelornis oneilli,Pardusco,Unknown,not applicable,Stable,suspected
Ovenbirds,Premnoplex pariae,Paria Barbtail,1000-2499,estimated,Decreasing,suspected
New World sparrows,Arremon phygas,Paria Brushfinch,Unknown,not applicable,Decreasing,suspected
New World warblers,Myioborus pariae,Paria Whitestart,1500-7000,suspected,Decreasing,suspected
Typical Antbirds,Cercomacroides parkeri,Parker's Antbird,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Cranioleuca vulpecula,Parker's Spinetail,Unknown,not applicable,Stable,suspected
Tanagers,Kleinothraupis parodii,Parodi's Hemispingus,Unknown,not applicable,Decreasing,suspected
Finches,Loxia pytyopsittacus,Parrot Crossbill,416000-957000,estimated,Stable,suspected
Tanagers,Sporophila peruviana,Parrot-billed Seedeater,Unknown,not applicable,Increasing,suspected
Old World Sparrows,Passer gongonensis,Parrot-billed Sparrow,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Geophaps smithii,Partridge Pigeon,"81800-145400, 116500",estimated,Decreasing,inferred
"Pigeons, Doves",Ectopistes migratorius,Passenger Pigeon,0,,,not applicable
Ovenbirds,Pseudasthenes patagonica,Patagonian Canastero,Unknown,not applicable,Decreasing,suspected
Mockingbirds and thrashers,Mimus patagonicus,Patagonian Mockingbird,Unknown,not applicable,Stable,suspected
Tanagers,Phrygilus patagonicus,Patagonian Sierra-finch,Unknown,not applicable,Decreasing,suspected
Tinamous,Tinamotis ingoufi,Patagonian Tinamou,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Colorhamphus parvirostris,Patagonian Tyrant,Unknown,not applicable,Stable,suspected
Tanagers,Sicalis lebruni,Patagonian Yellow-finch,Unknown,not applicable,Stable,suspected
Nightjars,Nyctidromus albicollis,Pauraque,20000000,estimated,Stable,suspected
Cuckoos,Dromococcyx pavoninus,Pavonine Cuckoo,Unknown,not applicable,Decreasing,suspected
Trogons,Pharomachrus pavoninus,Pavonine Quetzal,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Geopelia placida,Peaceful Dove,Unknown,not applicable,Stable,suspected
Parrots,Eupsittula aurea,Peach-fronted Parakeet,Unknown,not applicable,Stable,suspected
Hummingbirds,Lophornis pavoninus,Peacock Coquette,Unknown,not applicable,Decreasing,not applicable
Kites,Gampsonyx swainsonii,Pearl Kite,500000-4999999,estimated,Increasing,suspected
Swallows and martins,Hirundo dimidiata,Pearl-breasted Swallow,Unknown,not applicable,Stable,suspected
Ovenbirds,Margarornis squamiger,Pearled Treerunner,Unknown,not applicable,Decreasing,suspected
Typical Owls,Glaucidium perlatum,Pearl-spotted Owlet,Unknown,not applicable,Decreasing,suspected
